NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-28.157,-27.151,-25.312,-13.258,-1.0071,7.2417,12.918,9.9161,2.039,-8.7373,-17.415,-31.427
2007,-32.287,-32.384,-25.317,-9.8658,2.1489,7.5279,12.13,13.008,5.1708,-2.4908,-14.171,-23.89
2008,-32.741,-22.631,-16.598,-8.3798,8.1259,9.3571,14.449,11.434,3.6706,-6.01,-18.919,-24.783
2009,-33.222,-32.96,-22.941,-14.044,-2.1913,10.144,14.15,11.698,6.5469,-6.0244,-20.46,-24.843
2010,-26.08,-37.752,-22.762,-11.98,1.9976,7.9029,13.5,10.419,5.6373,-5.9055,-16.545,-26.091
2011,-34.902,-30.208,-22.993,-12.885,-1.2153,8.9249,17.213,12.467,4.9042,-5.7158,-14.266,-20.659
2012,-28.662,-33.25,-27.604,-9.0892,-1.4045,7.9017,11.045,8.3953,5.0226,-1.5502,-23.006,-33.375
2013,-31.306,-31.657,-22.13,-14.403,-3.6411,8.7236,13.77,9.719,3.1558,-7.356,-19.571,-19.063
2014,-24.799,-33.854,-23.027,-10.702,0.6843,9.0161,15.116,6.5466,3.5008,-6.5958,-17.522,-23.622
2015,-31.195,-30.732,-22.265,-6.7071,1.972,9.1642,12.157,10.166,1.9277,-8.382,-15.128,-29.849
2016,-27.315,-22.981,-18.015,-10.991,-0.14307,9.2007,12.222,9.5684,6.2668,-1.2671,-12.319,-27.869
2017,-31.305,-32.269,-19.831,-10.936,-0.031555,16.069,18.017,10.977,3.4017,-5.7928,-10.941,-25.316
2018,-33.222,-35.342,-20.123,-12.557,2.266,10.676,11.825,11.845,3.7618,-8.4392,-16.978,-23.25
2019,-32.766,-32.506,-23.287,-14.998,-3.9918,5.1832,12.06,5.7211,1.8934,-4.5009,-19.974,-30.206
2020,-26.8,-28.683,-21.812,-7.6903,7.1418,15.104,15.596,11.42,4.8684,-8.7869,-17.563,-23.569
2021,-34.324,-24.345,-20.479,-12.883,1.2582,7.0522,13.877,10.689,4.2083,-6.8053,-14.619,-26.655
2022,-30.026,-27.854,-18.262,-9.6495,-1.7493,9.0076,11.759,5.6504,0.70459,-7.472,-17.404,-27.196
2023,-35.258,-27.084,-19.081,-13.035,-1.783,7.4307,9.8355,11.724,0.59186,-6.4933,-10.36,-24.22
2024,-29.983,-26.872,-19.316,-12.398,-3.1384,8.0295,14.642,11.414,3.3129,-7.7031,-15.318,-24.8
2025,-28.155,-29.585,-20.283,-8.7219,2.2562,7.9105,17.92,12.689,0.26001,-2.3909,-21.81,-23.844
2026,-26.089,-27.969,-21.396,-8.594,3.0766,14.593,20.849,13.12,5.0822,-6.6845,-12.12,-24.06
